name           abs_mean      abs_max     rel_mean      rel_p99       cosine finite
h            9.8767e-02   5.9949e-01   1.0650e-02   1.9979e-02   0.99999988 True/True
h_c1         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.99999964 True/True
h_c2         8.0934e-03   4.6013e-02   1.7911e-03   1.3786e-02   1.00000060 True/True
h_c3         9.8767e-02   5.9949e-01   2.9577e-03   2.0370e-02   1.00000048 True/True
h_v0         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.00005758 True/True
h_v1         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.00000036 True/True
h_v2         8.0934e-03   4.6013e-02   1.8228e-03   1.3183e-02   1.00000060 True/True
h_v3         9.8767e-02   5.9949e-01   1.0650e-02   1.9979e-02   0.99999988 True/True
