name           abs_mean      abs_max     rel_mean      rel_p99       cosine finite
h            9.8961e-02   5.8246e-01   2.5558e-03   1.9006e-02   0.99999976 True/True
h_c1         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.00000060 True/True
h_c2         8.0722e-03   4.4662e-02   3.0567e-03   1.3655e-02   1.00000036 True/True
h_c3         9.8961e-02   5.8246e-01   2.9753e-03   1.8660e-02   1.00000024 True/True
h_v0         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.00005746 True/True
h_v1         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.00000024 True/True
h_v2         8.0722e-03   4.4662e-02   1.7928e-03   1.3785e-02   1.00000024 True/True
h_v3         9.8961e-02   5.8246e-01   2.5558e-03   1.9006e-02   0.99999976 True/True
