name           abs_mean      abs_max     rel_mean      rel_p99       cosine finite
h            9.5353e-01   6.0435e+00   3.0209e-03   2.3095e-02   0.99999958 True/True
h_c0         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.00000060 True/True
h_c1         8.1946e-03   4.9362e-02   1.9637e-03   1.3618e-02   0.99999988 True/True
h_c2         9.9169e-02   7.3871e-01   2.4079e-03   1.9782e-02   1.00000024 True/True
h_c3         9.5353e-01   6.0435e+00   3.2396e-03   2.3081e-02   1.00000095 True/True
h_v0         0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.00000036 True/True
h_v1         8.1946e-03   4.9362e-02   2.6039e-03   1.4178e-02   1.00000095 True/True
h_v2         9.9169e-02   7.3871e-01   1.2350e-02   2.0340e-02   1.00000000 True/True
h_v3         9.5353e-01   6.0435e+00   3.0209e-03   2.3095e-02   0.99999958 True/True
